i3-dab5| accepted; 
1(disz) 2/3(disz) ma-na 5(disz) gin2 ne-mur {gesz}asal2| 1 2/3 pounds 5 shekels poplar ash, 
u4 n-kam| nth day, 
a2 lu2 hun-ga2| (compensation for work of hirelings 
en {d}nin-gir2-su-ra mu-na-da-szu4-ge-esz2| they are standing by the lord Ningirsu.
an-za-gar3 {d}nu-musz-da-ka-ta| From the Tower of Numušda 
1(asz) {gesz}kiri6 geszimmar AD-tu-tu| 1: datepalm orchards of AD-tutu, 
nu-um-zi| are not pulled out. 
tir ha-szu-ur2-ra-gin7 im-ma-su3 me-dim2-bi ba-kur2| like a cypress forest it was stripped, its appearance changed. 
ba-ra-e3-de3| will forfeit.
szu-na i3-ni-gi4| to his control he returned them. 
nu-banda3 ur-{d}nansze| xxx
guru7 gu2 gur-gur-re| piles up in the grain stores, 
sze gu-nu a-gar3-re mu2-a-bi zi kalam-ma ba-su| the mottled barley grown on the arable lands, the life of the land, was inundated. 
a-ra-zu-ni-sze3 gub-ba| standing to serve at his prayers, 
ki i3-li2-e-ri-ba-am u3 ri-im-esz18-dar| from Ili-eribam and Rim-ištar
{d}nin-gal a uru2-gu10 im-me a e2-gu10 im-me| Ningal was crying “Alas, my city,” she was crying “Alas, my temple” 
mu us2-sa {d}szu-{d}suen lugal-e bad3 mar-tu mu-du3| Year after: “The king Šu-Suen erected the Amorite wall.” 
nam-ARAD2-da-ni-sze3| into one of his slaves
gukkal| fat-tailed sheep 
mu-szi-in-sze-ga-a| having been agreeable,  
im la2-ia3| tablets of deficits 
mu mah tuku-tuku-de3| and to acquire a great name, 
2(u) 2(asz) 2(barig) sze ur5-ra masz2 nu-tuku gur| 22 gur 2 barig debt grain, no interest; 
szul {d}suen e2-kisz-nu-gal2-la-sze3 im-ma-da-an-ku4-ku4| The youth Suen could enter again into the E-kiš-nu-gal. 
en3 tar-tar-re-de3 zi ba-ir| (I) have been distressed to inquire after (you) 
sza3 kar-gesztin-ka| in Kar-geštin 
ti mar-rux(TE)-am3 si ga-bi2-ib2-sa2| I shall set the arrow that is (in) my quiver(?) straight 
e2-zi-sza3-gal2| Ezišagal, 
nam ni2-tuku-mu-sze3| in view of my reverence, 
u4-ri2-a u4-ri2-sze3| Those days were faraway days, 
ama5-gu10 ag2 ki-sikil tur-ra-gu10 hi-li-zu nu-du8-a me-e(a) er2-zu ga-tum3| x the woman’s abode of my childhood maiden (years), no longer filled with your charms: I am the one who would carry your tears! 
dingir kalam-ma-na| god of is country, 
mu-na-ni-gar-a| had established for him; 
pu2-{gesz}kiri6 lal3 gesztin| He gave to him syrup and wine in the irrigated orchard 
sze-bi 1(gesz2) 2(u) 5(asz) 2(barig) gur| its barley: 85 gur 2 barig; 
mu gu-za {d}en-lil2-la2 ba-dim2| year: “The throne of Enlil was fashioned.” 
ensi2 a-pi2-ak{ki}| of the governor of Apiak; 
nig2-du7-e pa mu-na-e3| he made a fitting thing come forth resplendently for him, 
u8-e-a-e mu-un-DU-DU hur-sag giggi-gu10 babbar2-ra| (I) go crying “u'a,” my black mountain range (is now) white 
{d}iszkur lugal-a-ni| Iškur, his master, 
munus {ugu}ugu4-bi| female monkey 
nin-gu10 e2 ma-an-du3 igi la2-bi ba-tusz-en| My mistress built a house for me (and) I dwell (in it) suspiciously(?) 
2(bur3) 2(esze3) GAN2 1(u)-ta| 1 bur3 2 eše3 surface area at 10 each, 
nam-ti szu gi4-a he2-ni-tum2-tum2-mu| Life and pardon/repaid life(?) shall be brought there 
ki-a-nag ur-{d}szara2| libation place , Ur-Šara; 
im duru5| wet tablets, 
i7-pa-e3| Ipae, 
a mu-ru| dedicated it (this statuette).
nu-nus-gen mu szu-ga2 li-bi2-in-du me-ri-gu10-ta bi2-in-du| “I, the woman, planted the tree not with my hands, but with my feet. 
5(gesz2) ha-bu-ri-tum| 300 by Haburitum, 
{d}gu-nu-ra {gesz}dimgul hu-mu-un-du3-e| and may Gunura erect her boat-mast. 
5(disz) i3-duh KA-inim-ma 5(disz)-am3 bi2-szid-da-ka dub-sar-me-en bi2-du11-du11| Looking two, 5 times (at a text) and being one of reciting(?) 5 texts/text sections, you say “I am a scribe” 
1(ban2) i3-szah2| 1 ban2 of lard, 
ki absin3 {gesz}szibir i3-uru4{+ru}-ab absin3 si sa2 uru4{+ru}-ab| Where “shepherd's crook” furrows were sown(?), sow straight furrows 
ensi2 ka-zal-lu{ki}| (from) the governor of Kazallu, 
szu-a bala-e-de3| but should (rather) be handed down -
dub-(sar)| scribe, 
adab{ki} i7-de3 la2-a| Adab, (possessing) a temple attached to the river/canal 
bad3-tibira{ki}-a e2-musz3-kalam-ma-ta| At the E-muškalama in Bad-tibira, 
gu4| ox 
{d}a-nun-na-ke4-e-ne e-ne-eg3 kesz2-da-bi ba-an-da-dur2-ru-ne-esz| The Anuna rested on the “organized” (i.e., finalized?) word? 
6(asz) gu2 im-babbar2| 6 talents of gypsum, 
5(gesz2) 2(u) 7(disz) udu niga us2| 327 sheep, grain-fed, second quality, 
1(disz) ma-la| xxx 
ku3 {d}inanna-ke4 gu3 mu-un-na-de2-e| Holy Inanna was speaking 
gu3-de2-a| of Gudea,  
{d}szu-i3-li2-szu| Šu-ilišu,
szita3-du3 hal-an-ku3 igi kad4 galam-ma E2.GESZTU2 {d}nisaba-ke4| Accountant of Halankug, skillful knotter and opener of the eye(?) of the “house of wisdom of Nisaba” 
lugal an-ub-da limmu-ba-ke4| and king of the four world quarters,
sza3 uru11{ki}| at Uru. 
he2-gal2-bi| with its abundance 
ka si-il-la-asz i-ni-in-gar-ra-a| and set it for grazing (animals), 
erin2 zi-zi| xxx 
a mu-na-ru| he dedicated it (this mace head) to him.
{d}nin-i3-si-in{ki}-na| For the goddess Ninisina, 
ur2 libir-a-be2| but upon its old base 
e zi-du| ziDU ditch. 
nita-kal-ga| the mighty man, 
numun da-ri2 dingir-e-ne-ke4| eternal seed of kingship,
tur3 unu3 gal-e du3-a re ni2-bi-a ba-an-tab-tab| The chief shepherds themselves burned (?) every sheepfold. 
dam ki ag2-ga2-ni ne| He kissed his beloved spouse 
nig2-tur-zu a mu-da-du| your little “things” water are carrying. 
sze buru14 a-na-ag2-bi 1(asz) 1(barig) sze gur-ta| its barley to be measured out at harvest: 1 gur 1 barig each (shekel), 
1(u) gin2 ku3-babbar-am3| 10 shekels of silver
sze-bi 1(asz) 2(barig) 3(ban2) gur| its barley: 1 gur 2 barig 3 ban2, 
en me-te| the en priest suitable
lugal ki-en-gi ki-uri| king of Sumer and Akkad
dingir gal-gal-e-ne ul-la a-ra-zu-ga2 {zu}zub-bi-gin7 ba-an-gur2-ru-usz = %a dingir-mesz gal-mesz ina an-nim tas-li-tu4 gam-li-isz ik-tan-szu2-usz| The great gods bown down to him, like a curved staff, in approval of and in prayer to him.  
u3-mun kalam-ma-ke4 uruda nagga-gin7 sur3-sur3 ba-ni-in-de6-esz| They made the blood of the Land flow down the wadis like copper or tin. 
mu kar2-har{ki} a-ra2 3(disz)-kam-asz ba-hul-ta| year: “Karḫar for the 3rd time was destroyed,” 
dingir-ra-na-ke4| his (personal) god, 
zu-zu-lu a| probably water cicada 
{d}nin-gal| To Ningal
ama uri5{ki}-ma-ke4| the mother of Ur
igi un-nu-ub-tum lukur {d}nin-urta| before Unnubtum, nadītu of Ninurta;
sila4 en-te-na| lamb born in the winter 
szu-luh an ku3-ga-ke4 nig2-na-ma-ni i3-kur2| Within(?) the cleansing rites of holy An, everything of his(?) is changed 
za-e ni2-za er2 gig-ga szesz4-a ba-i-ri-ib-ak-esz| weeping bitter tears of your own accord, 
{d}en-ki| Enki, 
tan-{d}ru-hu-ra-ti-ir| of Tan-ruhuratir, 
i7 mah a-ab-ba x su3-u4 usz2-am3| It is that which blocks(?) (even) the great river that empties into(?) the sea 
2(gesz'u) la2 2(u) {ninda}nindax(DU)| is 1180 nindan. 
e2 zi e2 er2-ra ba-an-di-ni-ib-gar-ra-gu10| the good house, my house which has been given over to tears, 
in-szi-du8| release. 
lugal-me-en ni2 ba-ra-ba-da-te su ba-ra-ba-da-zi| I am a king who therefore could not be frightened or have gooseflesh 
kiszib3 lu2 ensi2 ma-da-ke4-ne| sealed documents of the men and governors of the land 
e2-e kur {gesz}erin ku5 nu-me-a| Although the temple was not (in/of) the mountain of the cut cedar/juniper 
za3 kur-ra-sze3| To the borders of the foreign land 
ug3-bi ug5-ge-de3 he2-em-ma-ag2-esz-a-ba| When they have ordered its people to be killed 
iti sze-sag11-ku5| month, 'barley cutting';
{disz}{d}bara2-{d}utu dumu ARAD-{d}utu| Bara-Utu the son of Warad-Šamaš, 
mu en {d}nanna masz-e i3-pa3| year: “The priestess of Nanna with a goat was determined” (Šulgi 43).
8(disz) sar kin u2 sahar-ba kab2-ku5 e2-ansze-ka| 8 sar, grass and earth worked, water installation (in the field) Donkey-house; 
{d}en-lil2-da a2-an-gal| with Enlil is great power”— 
ur-sag-be2-ne-er gu3 mu-ne-de2-e| to its warriors speaks: 
um-me-da dumu-da mu-na-te ul3-la2 mu-da-si-il| He aproaches the nurse with (her) charge and cuts through the (child)-harness. 
1(gesz2) 2(disz)| 62 (lines in this column)
ur-{d}nanibgal| Ur-Nanibgal, 
ge26-e i7-ga2 u2-lal3-e mu-un-du3 suhur{ku6}-e am3-gur-gur-e| In my city honey-plants are planted, and the carp grow fat.
GAN2 kab2-du11-ga| surface, inspected; 
ku-da-nu-um szabra(AL)| for Kūdanum, the household manager; 
sag-ge26-esz2 mu-rig7| he(?) gave it as a gift.  
gi-dub-ba ku3 NE-a szu im-mi-du8| She held a stylus of purified silver in the hand. 
e2 {d}nin-tur5 esz-bar kin2 du11-ga| Decided by mother Nintur 
agrig| the steward, 
1(disz) lu2-kal-la sagi| 1: Lu-kalla, the cup-bearer, 
siskur2 nig2 du10-ga la-ba-an-tag-ge szu gig ba-ni-x-gid2| His (?) pleasing sacrifices were no longer accepted; they were treated as dirty (?). 
nin ki-ag2-ga2-na-ta| his beloved mistress,
{d}lamma| of the goddess Lamma 
1(disz) gu4 niga 1(disz) gu4 u2 ba-usz2| 1 ox, grain-fed, 1 ox, grass-fed, slaughtered, 
{disz}ri-ti-dingir dumu nu-ur2-a-nim| Ritti-ilim the son of Nūr-Anim, 
u3 e2 {d}gesztin-an-na-ka| and the temple of Geštinana 
lugal-e2-mah-e| Lugal-emaḫe, 
ki u6-di kalam-ma-ka| the most wonderous place of the nation, 
dingir szuba3 an-na| shining god of the sky, 
ki-es3-sa2{ki}| Ki’eša, 
e2 mu-na-du3| he built the temple. 
mu-da-ne-num2| tiger or cheetah 
mu-lu nu-tuku-gin7 tug2 dili-a im-ma-an-mur10| Like a pauper, she clothed herself in a single garment, 
gesz tuku = %a sze-mu-u2| to hear 
1(u) gu2 siki a-ra2 1(disz)-kam| 10 talents of wool the first time, 
4(u) 3(disz)| (total:) 43.
6(disz) {munus}asz2-gar3 ga| 6 female kids, suckling, 
ki-su7 nin10-nu-du3-a-ta e2-amar-ra-sze3 in-u ga6-ga2| from the threshing floor of Ninnudu to E-amara straw carried. 
a-sza3-ga sze gu-nu nu-gal2 ug3-e nu-gu7-e| On the fields fine grains grew no more, people had nothing to eat. 
hi-ba-ri2-tum-ma-ka-sze3| Ḫibarītum - 
iti ezem-{d}szul-gi| Month “Šulgi-festival,” 
1(u) 8(disz)| (total:) 18. 
gesz-gi4-gal2-bi-im| It is its gešgigal “response” 
e2 da e2-engur-ra pirig abzu| Temple adjoining the deep water(!?), pirig creature in/of the inner Abzu 
an-ta-sur-ra| had the Antasura 
kalam-ma mu-ri| rests on the land. 
9(asz) 3(ban2) sze gur kiszib3 ur-{d}ig-alim ugula kikken2| 9 gur 3 ban2 barley, under seal of Ur-Igalim, foreman of the mill; 
ninda-ni 4(gesz2)-am6| and his bread 240 loaves. 
{gesz}u3-szub mu-gar| He set up the brick mold, 
u4 kur2-sze3 {d}nanna-ma-an-szum2| In future, that Nanna-manšum
szu-esz18-dar| for Šū-Ištar; 
lugal an-ub-da limmu2-ba| and king of the four world quarters,
dingir-re-x-e-ne| I am (on) the body of the gods 
1(asz) si-DU| 1: SiDU, 
szunigin 1(disz) gu4 mu 2(asz)| total: 1 ox of 2 years; 
an ku3-ta pa e3-a|come forth from the holy heavens, 
uri5{ki}-ma me nam-lugal-la bala-bi su3-su3-u4-de3| to alienate the divine powers of the reign of kingship of Ur, 
e2-kikken| xxx 
giri3 {d}nanna-ma-ba dub-sar| via Nanna-maba, the scribe;
a-la2-ku3-ga na-ba-ni-zalag| His silver ala is purified; 
1(disz) ma-an-szum2 sipa| 1, Manšum, the shepherd, 
mu bad3 uri2{ki} unu{ki}-ga mu-un-gul-la| the year in which (Samsu-iluna) destroyed the walls of Ur and Uruk.
{gesz}gag suku5 mar-gid2-da| peg of the pole of the wagon 
u3 lu2-{d}nin-gir2-su| and Lu-Ningirsu, 
sipa ur-{d}namma-ke4 e2-gal-a-ni gesz im-mi-tag-ge| in his palace, the shepherd Ur-Namma offered to him. 
geme2 a2-asz2-a-ni in-tuku| has married a female slave whom he desires,
mu-kux(DU) esz18-dar-dingir-szu| delivery of Ešdar-ilšu; 
sipa he2-a {d}nu-nam-nir-ra-ka ni2 husz mu-un-da-ri| “Let him be the shepherd of Nunamnir!” He made him emanate (?) fierce awesomeness. 
x gaz2-a-gin7 igi-bi-ta ba-e-szu2| Like smitten heroes, they were covered from the front 
{d}NE-DAG| To the deity NE-DAG, 
{d}szul-gi-iri-mu| Šulgi-irimu 
u4-ba du8-mah| At that time, a great (copper) cauldron(?) 
tusz-a-ni-sze3 tum2-ma| which is suitable for his habitation, 
diri 2(u) tug2 hi-a| Surplus: 20 diverse robes, 
nin-gar| The nin-gar 
he2-ma-da-zi-zi| may he always rise up with it for me!' 
mu si-ma-num2{ki} mu-hul| year: “Simanum was destroyed.”
szu-gi4-me-en a-zu kalam-me-en| (when) I am an elder, I am the physician of a land. 
u4 szu ur4-ur4-re kalam i3-ur4-ur4-re| The eradicating/gathering(?) storm was sweeping the land/making the land tremble 
mu-ni-da| of Munida, 
1(gesz2) 3(u) 5(disz) engar 1(u) 5(asz)-ta| 95 plowmen at 15 each; 
u4 2(disz)-kam| 2nd day 
masz2 inim-ma| and the goats of the word, 
udu| xxx 
sar 1(u) 5(asz) gin2| of a plot 15 shekels; 
igi-te ha-la {disz}i3-li2-ip-pa-al-sa3| (is) the fraction of the (inheritance) share of Ilī-ippalsa(m)
tur3-ra i3 he2-me-en amasz gara2 he-me-en| Nisaba, in the cattlepen you shall be the oil, in the sheepfold, you shall be the cream 
1(asz) ziz2 guru7 gur| 3,600 gur emmer, 
li-tum {d}marduk-na-s,i-ir a-bi erin2| under the responsibility of Marduk-nāṣir, the abi-ṣābim official; 
ki-la2-bi 2/3(disz)| the extent: 2/3 (surface sar); 
mu us2-sa ki-masz{ki} ba-hul| year following: “Kimaš was destroyed .” 
munus mul-mul-la| the radiant woman, 
{d}gilgamesz| Gilgamesh, 
iti a2-ki-ti| month “Akitu;” 
kiszib3 ur-{d}nam2-nun-ka| sealed document of Ur-Namnunka. 
gu3 im-mi-ra-asz-szeg10 im-mi-in-gi4| She has shouted and screamed 
mu-szi-gen-na-a| had gone to him, 
2(gesz2) 2(u) gur| 140 gur, 
e2-tur3 nam-en-na| from the stockyard "Namenna".
szunigin 5(disz) sila3 kasz saga szunigin 6(disz) sila3 kasz| total: 5 sila3 fine beer; total: 6 sila3 beer; 
1(u) 9(disz) sar 6(disz) gin2 kab2-ku5 a-bu3-ka| 19 sar 6 shekels, water installation (in the field) Abuka; 
a mu-na-ru| dedicated it (this vessel) to her. 
lugal-isz11| Šarriš, 
e2-a-na uluszin3| In his house he put in order (vessels) with emmer beer and liquor 
3(disz) nin-da-nir-gal2| 3 (mana wool for) Ninda-nirgal 
kiszib3 da-da dumu ur-{gesz}gigir| sealed tablets (of) Dada, son (of) Ur-gigir,
u4 {d}utu| When Utu, 
tukum-bi lu2 lu2-ra| If a man to another man
6(disz) gu4 nig2-{gesz}tag-ga lugal| 6 oxen, royal sacrifice; 
2(barig) lugal-sa6-i3-zu engar| 2 barig: Lugal-sa-izu, the ploughman; 
a mu-ru| dedicate this *. 
bara2-ga-ni nu-szub-ba mu-ni nu-pa3-de3| His dais does not fall, his name is not invoked 
ku5-ra2 ba-us2| The ‛cut’ was imposed, 
1(disz) kusz udu {d}nansze umma{ki}| 1 sheep-hides (for) Nanše of Umma; 
1(asz) kas mudx(LAK449) 1(asz) sa2-du11| 1 mud vessel and 1 sadug vessel of beer 
szunigin 3(disz) dumu 1(ban2)-ta| Total: 3 children (receiving) 10 litres each 
en pirig gal an-ki| the lord, the great lion of heaven and earth,
ki-su7 a-sza3 {gesz}ma-nu| at the threshing floor of the field Willow stationed;
za-pa-ag2 ku3-ga-na {na4}gug gi4-rin-na si ba-ni-ib2-si-sa2| She arranged the red carnelian (beads) on her pure throat(?) 
2(disz) kusz szu-dulx(URxA)| 2 hides of (oxen) yokes, 
e2 dim-gal kalam-ma| House, mooring post of the Land,
lugal sa-bar-sa-bar kalam-ma| King, all the sabar nets(?) of the land 
nam-e2-gi4-a-bi-sze3| for a bride
{d}li-pi2-it-esz18-dar dumu {d}en-lil2-me-en| I am Lipit-Ištar, the son of Enlil; 
szu du11-ga| The one wrought by An 
ug3 dab5-dab5-a-bi| their captive peoples 
7(asz) sa2| 7 (ninda) squared: 
u4 esz3 e2-babbar-ra| When the Ebabbar shrine (itself) 
sza3 mu-kux(DU) kasz-de2-a esz18-dar-il-szu| from the delivery of “beer-pouring” by Ešdar-ilšu; 
en {d}nu-nam-nir-ra nam-bi-sze3 i3-hul2 bar-bi ul-la am3-mi-ib2-za = %a be-lum {d}min ana szat-ti ih-di ka-bat-ta-szu2 i-li-is,| Because of this Lord Nunamnir was happy, his liver surged with joy.  
i3-szah2 5(ban2)-ta-am3| 5 ban of lard, 
4(disz) kir11 ga| 4 female lambs, suckling, 
lugal an ku3-ga men dagal su3-su3| The king of the silver heavens, spreading out a wide crown, 
{d}a2-zi-mu2-a nin iri-a-ke4 er2 gig mu-un-sze8-sze8| Azimua, the queen of the city, wept bitter tears. 
mu 3(u) 6(disz) i3-ak| 36 years he ruled; 
ku3-babbar 1(disz) gin2-e| by one shekel of silver 
mu-un-na-pax(RU)| His mind did not find(!) the juniper/cedar tree 
szu mi-ni-in-bar-ra| having set them free
ku3 {d}ga2-tum3-du10-ra mu-na-gen| He went to Shiny-Gatumdu, 
1(szar2) 1(u) gur guru7-sze3| 3610 gur for the silo;
1(disz) sila4 mu-kux(DU) s,e-lu-usz-{d}da-gan| 1 lamb, delivery of Ṣelluš-Dagan, 
nin nam-dingir-ra-na| the lady whose divinity
szagina| general 
{gesz}tukul lu2-erim2-ma-na| and the weapons of his enemy 
en-{d}mes-an-tum2 dumu puzur4-{d}nin-lil2-la2| En-Mesantum, the son of Puzur-Ninlil: 
n gin2 igi 6(disz)-gal2 ku3-babbar| n and 1/6 shekels of silver 
{d}en-lil2 gu-ti-um{ki}| Enlil! Gutium,
numun-a-ni he2-til| May she make his seed come to an end 
szu bi2-ib2-ur3-a| shall erase, 
URU-KA-gi-na-ke4| URU-KA-gina 
{d}nanna| May Nanna 
kisal e2-ninnu-ka ki-gub pa3-de3-da| he might appoint to (their) offices in the courtyard of Eninnu—
mu-zu he2-pa3-de3 %a szum-ka li2-iz-za-ki-ir| and let your fame shall be revealed.  
silim-ma kaskal-la-ne-ne| At the safe (completion) of their trip,
2(esze3) 3(iku) GAN2 5(asz)| 2 eše3 3 iku surface, 5 (gur); 
za-e dim2-ma-zu dumu an-na-me-en| You are fashioned like the son of An, 
{d}eb-gal| (for) Ebgal; 
ma2 dilmun| Boats of Dilmun 
lu2 za-gin7-na-ak za-e igi-bi al-gu4-u4-gu4-u4-de3| The one who behaves like you(?), is jumping around before them(?) 
iti sze-sag11-ku5-ta| <<from the month [“harvest”(?)]
i7 tur gir2-su{ki}| The Little Canal Which Girsu 
muszen-gin7 gud3 us2-sa-bi-a nam-bi2-ib2-hu-luh-e| I(!) shall terrify (the people) in their founded nests like birds 
mu en-unu6-gal-an-na en {d}inanna| xxx
uru2-ni ba-an-da-gul-la me-ni ba-an-da-kur2-ra| Her city is destroyed to her detriment, her cosmic powers are changed to her detriment 
szim zi-gin7 sag-ga2 mi-ni-ib2-de2| he poured it on top like good incense. 
gu4 ab2| breeding bull 
1(disz)| (total:) 1,
{d}nin-gir2-su2-ka du3-a| of Ningirsu was built, 
ha-ba-gub-be2-en| you have indeed served, 
nin gal me kilib3 szu-na dab5-be2| the great lady who holds all the divine powers in her hands,  
nin-kilim{+gi-li2}| mongoose 
{d}mes-lam-ta-e3-a| For Meslamtaea, 
sa12-rig9| presented it (this statuette).
nam-sipa kalam-ma-sze3 x x| for the shepherdship of the country 
{disz}{d}inanna-kam dumu-munus {d}en-lil2-a2-mah| It is Inannakam, daughter of Enlilamah 
nun sza3 ki-ag2| prince of the heart beloved 
ur-tur| Ur-tur 
ti-ti-bi nig2 za-ra ak-dam u4 zal-gin7 zal-le-dam| “Its ribs shall be crowbars that let light pass inside like the sun's rays. 
e pa4 lagasz{ki}-ke4| that the ditches and canals of Lagaš
a-sza3-ta e11-da-bi| xxx 
ki lagasz{ki}-a ki-tusz ku3 me sikil-la-za| In Lagaš, your holy dwelling place of the pure divine powers, 
{gesz}sze ra-ah| threshing flail 
1(disz) lugal-szu-nir-re| 1: Lugal-šunire; 
ak tud2-ba nig2| Your beatings of (during?) instruction(?), (in which) nothing compares with you 
1(barig) 3(ban2) lu2-giri17-zal| 1 barig 3 ban2: Lu-girizal, 
it-be-la-ba| Itbe-labba, 
nig2-ur2-limmu2 {d}szakkan2-na-ke4 szurum ki nu-tag-ge-de3| that the four-legged creatures of Šakkan should lay no more dung on the ground, 
inim-{d}szara2 engar dumu ur-{gesz}gigir| Inim-Šara, the plowman, son of Ur-gigir; 
5(disz) sila3 kasz 3(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga| 5 sila3 beer, 3 sila3 bread, 5 shekels onions, 3 shekels oil, 
2(u) kiszib3 lugal-dam| 20 (gur) Lugal-dam,
ugu-gu10| My upper skull 
zabar gal-gal-e tesz2 mu-gu7-e| Large bronze (plates) offer all sorts of food,
1/2(disz) ninda gid2 3(disz) kusz3 dagal 2(disz) kusz3 bur3| 1/2 ninda the length, 3 cubits the width, 2 cubits the depth, 
u4 7(asz)-am3 sze la-ba-ar3| For seven days no barley was ground. 
| ..; 
u3 nam-ti-la-ni-sze3| and for her own life 
te-me-en mu pa3-da nam-lugal-ga2 a-ar2 u3-bi2-sar| When I have had foundation documents inscribed to praise my royal revealed name, 
alan igi-zu| O statue, before you 
2(disz) 1/2(disz) ninda 2(disz) kusz3| 2 1/2 ninda 2 cubits; 
gi-me-a-asz ad-da-ne-ne lu2-tur-ne-ne kin2-gi4-a gi4-gi4-ba in-nu-u3| (As for your?) colleagues, their fathers do not(!?) dispatch their children/juniors charged with a task 
gesz-hum-bi e2-gal i7-mah-ha me-lam2 gur3-ru-am3| its cabin was a palace, carrying a terrible splendor on August River, 
buru14 ama-bi gi4-gi4 su3-su3-da| the harvest will remit this debt, should (it) be inundated; 
lu2 mu-sar-ra-na| A person who his inscription
gu-da-da| Gudada 
ARAD-ga2-ka| my servant, 
lukur kaskal-la| the traveling lukur-consort,
ug3-ga2-na ba-ra-ge| that spreads over his people,
igi husz-a-mu kur-re nu-um-il2| my terrible eye, which the lands cannot sustain, 
gu-ti-um{ki} sza3 ba-ni-ib-bala-bala numun ba-ni-ib-i-i| The Gutians bred there, issued their seed. 
7(asz) giri3-lam| 7 baskets (of dates?), 
2(disz) ab2 mu 1(disz)| 2 heifers, 1 year (old), 
{d}nin-szuszin{ki}-ra| for Inšušinak, 
lugal-mu {d}nin-gir2-su en a husz gi4-a| “My king, Ningirsu, lord holding back the terrible water, 
kiszib3 2(disz) lu2-du10-ga| 2 sealed tablets of Lu-duga. 
iri-ni nina{ki}-sze3 kar nina{ki}-na-ke4 ma2 bi2-us2| To her city, Nina, he moored at the port of Nina. 
{d}en-lil2-la2| did Enlila, 
u3-na-a-du11| speak! 
lugal an-ub-da limmu2-ba| the king of the four regions,
{d}na-na-a| For Nanaia,  
